date,content,replyCount,retweetCount,likeCount,media,cleaned,sentiment_number,sentiment_label
2018-09-22 17:41:35+00:00,YANDHI 9 29 18 https://t.co/kaAUj1iTVt,132,3399,19023,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnt0lG1V4AAyfW0?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnt0lG1V4AAyfW0?format=jpg&name=large'}]",yandhi,0.0,Neutral
2018-09-22 17:41:24+00:00,YANDHI 9 29 18 https://t.co/CfpIBe5gBs,62,1767,11882,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnt0iYFUwAATI5O?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnt0iYFUwAATI5O?format=jpg&name=large'}]",yandhi,0.0,Neutral
2018-09-22 17:41:15+00:00,YANDHI 9 29 18 https://t.co/nAgOzWLuut,116,2522,15782,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dnt0gIUUcAIN5nZ?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dnt0gIUUcAIN5nZ?format=jpg&name=large'}]",yandhi,0.0,Neutral
2018-09-22 17:32:11+00:00,we’re building DONDA schools in Chicago,187,1604,14959,,building donda schools chicago,0.0,Neutral
2018-09-22 17:16:27+00:00,Having your amount of likes on display for the world to see and judge is like showing how much money you have in the bank or having to write the size of your dick on your t shirt,812,10040,57096,,amount likes display world see judge like showing much money bank write size dick shirt,0.2,Positive
2018-09-22 17:16:14+00:00,Speaking for myself I personally want to participate in social media with the option of not having to show my followers or likes,325,2832,19868,,speaking personally want participate social media option show followers likes,0.016666666666666666,Positive
2018-09-22 17:15:59+00:00,There are people who are committing suicide due to not getting enough likes. Seeking validation in the simulation.  We need a live-streamed meeting with Jack Dorsey Kevin Systrom Mike Krieger Mark Zuckerberg and Evan Spiegal. https://t.co/boAbEDqIyG,303,2143,14883,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DntuuBUV4AAvtRH?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DntuuBUV4AAvtRH?format=jpg&name=large'}]",people committing suicide due getting enough likes seeking validation simulation need live streamed meeting jack dorsey kevin systrom mike krieger mark zuckerberg evan spiegal,0.0037878787878787845,Positive
2018-09-22 16:31:12+00:00,Just got this pic from Mikkey https://t.co/LiVjHEudtP,84,580,7799,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/Dntkd2DU8AEEV1K?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/Dntkd2DU8AEEV1K?format=jpg&name=large'}]",got pic mikkey,0.0,Neutral
2018-09-22 15:14:14+00:00,need a slide emoji https://t.co/OMe4nrWuOf,161,1156,14068,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1043518813021466629/pu/img/eNdf096YZG1cbJRs.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043518813021466629/pu/vid/720x900/SGN9UEdaK2AbV_wr.mp4?tag=5', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043518813021466629/pu/vid/180x224/wWREXOT4VQ6Usr2y.mp4?tag=5', 'bitrate': 256000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1043518813021466629/pu/pl/c8O_ToKilld9IDLZ.m3u8?tag=5', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043518813021466629/pu/vid/360x450/PgmGtvVfKUcNu858.mp4?tag=5', 'bitrate': 832000}], 'duration': 4.667, 'views': 671464}]",need slide emoji,0.0,Neutral
2018-09-22 13:47:09+00:00,relearning how to code.  I knew how to in 7th grade when I was programming a video game,931,4897,49805,,relearning code knew 7th grade programming video game,-0.4,Negative
2018-09-22 12:35:41+00:00,we design everything we put our soul in,163,3953,20760,,design everything put soul,0.0,Neutral
2018-09-22 01:36:28+00:00,Gaudi https://t.co/xKTpteUBAF,98,487,6981,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DnqXr1pUYAAW5QS?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DnqXr1pUYAAW5QS?format=jpg&name=large'}]",gaudi,0.0,Neutral
2018-09-22 01:35:59+00:00,activity on the 350 today https://t.co/nch4PffRNz,112,619,6915,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1043312873466810369/pu/img/ZiykV0l41m7vCqyM.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043312873466810369/pu/vid/720x900/FLhwoRKBowa9olo2.mp4?tag=5', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043312873466810369/pu/vid/360x450/tk_p0tJjnWFrER-d.mp4?tag=5', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043312873466810369/pu/vid/180x224/nXAFUAYW5MgHcRVU.mp4?tag=5', 'bitrate': 256000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1043312873466810369/pu/pl/F89cUxcGgm8cEQ6L.m3u8?tag=5', 'bitrate': None}], 'duration': 10.867, 'views': 410130}]",activity 350 today,0.0,Neutral
2018-09-22 01:35:15+00:00,holographic https://t.co/Xm4pjuflES,1029,22622,124408,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1043312678591033344/pu/img/T0uvb2bZyG1n1k5s.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043312678591033344/pu/vid/180x320/ykr4DKUIN0DXXjGM.mp4?tag=5', 'bitrate': 256000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043312678591033344/pu/vid/720x1280/WuJZR5e0C6nNquZ7.mp4?tag=5', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1043312678591033344/pu/vid/360x640/Y_0wtZA_YNbGSnCm.mp4?tag=5', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1043312678591033344/pu/pl/kV3low-OZiAfLDkU.m3u8?tag=5', 'bitrate': None}], 'duration': 24.498, 'views': 3398120}]",holographic,0.0,Neutral
2018-09-22 01:34:14+00:00,with the zoom in for anyone concerned with the man made construct of numbers.  The universe is infinite and also obviously on our mthrfckng side https://t.co/G3EWrLjYwh,145,873,8597,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/DnqXK5FUUAAxVQm?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/DnqXK5FUUAAxVQm?format=jpg&name=large'}]",zoom anyone concerned man made construct numbers universe infinite also obviously mthrfckng side,0.0,Neutral
2018-09-20 20:35:11+00:00,Holographic,453,2072,18782,,holographic,0.0,Neutral
2018-09-20 20:11:48+00:00,a conversation with My friend Jack the head of twitter https://t.co/9WawmuCAg1,181,480,4499,,conversation friend jack head twitter,0.0,Neutral
2018-09-20 18:50:53+00:00,famleeeeee https://t.co/sqhHtxIRPh,121,578,3555,,famleeeeee,0.0,Neutral
2018-09-20 18:22:25+00:00,my love is so beautiful 😍 https://t.co/Tjm9W86iak,136,692,5873,,love beautiful,0.675,Positive
2018-09-20 18:08:23+00:00,Apple 🍎 and YZY  sounds about right 🚀🚀🚀🚀💜💜💜💜🔮🔮🔮🔮👽👽👽🙋‍♂️ https://t.co/Uq5ArSlcdd,84,568,4924,,apple yzy sounds right,0.2857142857142857,Positive
2018-09-20 14:42:32+00:00,this is lovely. Ben from Snapchat text my wife this. https://t.co/veB6DdEjvm,104,311,3770,,lovely ben snapchat text wife,0.5,Positive
2018-09-20 14:16:22+00:00,Social media can be good but we have to hold the heads responsible for the psychological damage it sometimes causes. https://t.co/g81IBjqqaK,191,1631,9328,,social media good hold heads responsible psychological damage sometimes causes,0.23333333333333334,Positive
2018-09-20 14:16:03+00:00,we should be able to participate in social media without having to show how many followers or likes we have. Just like how we can turn off the comments we should be able to turn off the display of followers. This has an intense negative impact on our self worth.,2532,38017,187671,,able participate social media without show many followers likes like turn comments able turn display followers intense negative impact self worth,0.2476190476190476,Positive
2018-09-19 23:33:15+00:00,YZY BSKTBL https://t.co/jRIISnZr2Y,182,839,6228,,yzy bsktbl,0.0,Neutral
2018-09-18 19:21:01+00:00,#wegotlove campaign/photos shot by Rita Minissi,100,409,5810,,wegotlove campaign photos shot rita minissi,0.0,Neutral
2018-09-18 12:45:11+00:00,music is space between noise,764,14877,70218,,music space noise,0.0,Neutral
2018-09-17 17:32:28+00:00,we don’t need to ever be excited we need to just be,301,3846,21839,,need ever excited need,0.375,Positive
2018-09-17 17:29:44+00:00,no if ands or buts,277,4675,18078,,ands buts,0.0,Neutral
2018-09-17 17:25:24+00:00,we need consideration,199,2759,12678,,need consideration,0.0,Neutral
2018-09-17 16:46:42+00:00,we are divine,375,6528,27764,,divine,0.0,Neutral
2018-09-17 15:11:54+00:00,love is the absence of pride,714,24425,82653,,love absence pride,0.24375,Positive
2018-09-16 17:09:05+00:00,Donda House 🙏👽👽 https://t.co/i4pfZiZmeN,71,350,4176,,donda house,0.0,Neutral
2018-09-16 15:57:46+00:00,enhance structure,370,3699,27789,,enhance structure,0.0,Neutral
2018-09-16 03:12:11+00:00,"Film concept: a being purchases a Merriam-Webster’s dictionary from Walgreens to  highlight positive words in orange and negative words in yellow crafting language charged by African parables willing universal power manifesting world peace 

https://t.co/YLmJZYWCDR",612,1259,12027,,film concept purchases merriam webster dictionary walgreens highlight positive words orange negative words yellow crafting language charged african parables willing universal power manifesting world peace,0.029545454545454545,Positive
2018-09-15 21:54:49+00:00,Me Troy Justin and Scooter will have dinner and build on how we will make our world better. Sending positive energy,691,2262,32693,,troy justin scooter dinner build make world better sending positive energy,0.36363636363636365,Positive
2018-09-15 20:11:52+00:00,"sending good energy to my brother Ricardo for his first Burberry show 

https://t.co/seuuw0Wj8C",123,561,7565,,sending good energy brother ricardo first burberry show,0.475,Positive
2018-09-15 16:18:32+00:00,yoga dance meditation,582,4466,34156,,yoga dance meditation,0.0,Neutral
2018-09-15 01:20:53+00:00,we’re creating a film called Spiritual Telephone.,998,3250,38460,,creating film called spiritual telephone,0.0,Neutral
2018-09-15 00:37:41+00:00,eating dishes served with Gullah Geechee heritage,304,982,13199,,eating dishes served gullah geechee heritage,0.0,Neutral
2018-09-14 17:41:39+00:00,our whole culture is about balance,1025,8653,54999,,whole culture balance,0.2,Positive
2018-09-13 21:10:45+00:00,when you think of something positive say it out loud. Keep putting that vibe into the universe.,2196,79809,245649,,think something positive say loud keep putting vibe universe,0.16363636363636364,Positive
2018-09-13 00:06:44+00:00,love is serving others - Maurice Armitage,539,6283,33769,,love serving others maurice armitage,0.5,Positive
2018-09-12 18:58:09+00:00,change I want to we need,2132,12270,67219,,change want need,0.0,Neutral
2018-09-11 22:48:38+00:00,we don’t try we do,1479,43281,131897,,try,0.0,Neutral
